treatment_company,operator,age,azimuth,md,tvd,footage_lateral_length,porpoise_deviation,porpoise_count,shale_footage,acoustic_impedance,log_permeability,poisson_ratio,toc,vcl,p-velocity,s-velocity,youngs_modulus,isip,pump_rate,total_number_of_stages,proppant_volume,proppant_fluid_ratio,production
8,26,10,-53.18,11645,7980.0,3564.0,353.76,1,4086,32176.92,1.08,0.32,5.42,0.82,12599.2,7379.32,32.68,5032.0,90,11,4121600.0,0.97,1010.513559
12,9,11,2.48,12520,8573.0,3669.0,16.06,4,2297,34764.4,0.88,0.28,4.12,0.47,11642.67,7067.2,31.58,6163.0,92,20,5904593.0,1.37,873.411474
1,13,7,-49.650002,15653,5765.0,9280.0,5.53,7,4655,27931.42,0.26,0.34,4.68,0.62,13241.47,6972.52,30.98,3788.0,89,46,24777582.0,1.02,1514.900274
5,15,11,-46.98,11903,5475.0,5526.0,35.35,12,4633,31163.96,0.28,0.33,4.68,0.62,13204.97,6985.98,31.03,3424.0,89,16,5368545.0,1.22,1562.272694
5,11,9,-1.71,13295,7286.0,5440.0,41.17,5,4278,28723.7,0.56,0.33,4.58,0.5,13056.54,7102.17,31.36,5529.0,70,28,8293600.0,0.99,1191.836063
4,1,12,-27.1,10777,6054.0,4143.0,0.33,32,13729,34692.69,0.54,0.21,4.7,0.42,13552.74,6795.61,26.41,4634.0,99,11,5450259.0,1.26,2509.09978
8,6,12,-22.25,12312,6136.0,6041.0,4.69,3,0,31180.98,0.9,0.22,4.84,0.72,10938.52,6779.6,26.01,4172.0,73,11,7750996.0,1.3,1272.345292
8,26,8,-55.029999,13707,6503.0,6553.0,73.24,1,1920,29023.09,0.34,0.34,4.65,0.59,13166.69,7032.5,31.15,4831.0,88,32,8536977.0,0.79,781.8192473
12,1,12,-35.43,12021,6544.0,5176.0,6.01,7,0,31143.43,0.52,0.21,4.25,0.55,13071.26,6796.49,26.0,4780.0,98,13,3644763.0,0.64,1354.756101
11,14,10,-54.220001,15465,7366.0,6676.0,30.9,4,4174,34371.58,0.3,0.26,3.91,0.59,11113.51,6782.48,28.44,5800.0,81,33,12559157.0,1.06,5262.395867
8,4,11,-43.490002,10690,7353.0,3010.0,450.37,1,0,30365.71,0.87,0.34,3.83,1.3,12795.79,6590.67,29.94,4983.0,80,12,1572000.0,0.44,938.3756861
5,11,9,2.6500001,13936,7256.0,5802.0,14.27,6,297,29537.15,0.56,0.33,4.618651685393258,0.5,13060.17,7101.29,31.36,5535.0,69,29,8723403.0,1.03,1622.253328
1,11,6,-41.939999,21343,6081.0,13995.0,70.55,12,10623,35339.0,0.68,0.34,5.0,0.42,13592.23,6950.44,30.82,4077.0,91,70,35944792.0,1.14,3315.436126
1,5,6,1.39,17898,6512.0,11136.0,104.88,3,0,30041.4,0.5,0.33,4.83,0.56,13280.73,7014.03,31.04,3372.0,75,50,24718622.0,1.12,3756.367646
8,26,9,-56.619999,15190,8304.0,6306.0,5.66,14,9361,35500.58,0.35,0.32,5.49,0.86,13106.77,7131.98,32.37,6137.0,92,22,7917313.0,0.98,1468.465987
1,25,10,-35.040001,14640,7887.0,6546.0,3.94,6,2417,34719.56,0.28,0.26,2.57,0.6,11119.27,6782.74,28.73,5878.0,90,38,12298942.0,0.85,2572.248851
12,25,5,-33.905735419037036,16326,7776.0,7620.0,49.74,19,8536,34793.96,0.27,0.33,4.68,0.63,13220.38,6970.94,30.98,5345.0,97,41,15547840.0,1.65,2636.608476
2,20,10,-33.905735419037036,13678,7094.0,6194.0,28.0,13,6471,34786.71,0.53,0.33,4.78,0.41,13451.61,6934.0,30.82,4492.0,108,11,5942799.0,1.75,1097.456344
1,1,7,-28.690001,12606,6832.0,5121.0,46.2,6,0,35033.39,0.27,0.33,4.66,0.61,13171.29,7015.34,31.11,4939.0,100,50,9865250.0,1.06,2513.221547
9,14,8,-14.28,13310,7046.0,5288.0,0.6,9,6476,29891.65,0.14,0.25,5.04,0.61,11543.63,6782.8,27.82,5269.0,80,25,9481461.0,1.03,4404.194328
5,5,6,-34.040001,15805,6613.0,8575.0,23.78,6,277,31193.17,0.47,0.33,4.66,0.58,13179.29,7036.49,31.15,5091.0,80,43,17397700.0,1.19,2256.564198
1,5,7,-17.16,16012,6428.0,9334.0,331.48,1,0,35169.14,0.26,0.34,4.68,0.61,13255.15,6964.58,30.96,3577.0,77,45,22857492.0,1.09,2709.102928
8,4,9,-50.57,12949,6884.0,5333.0,8.39,16,7341,34357.3,0.65,0.34,3.98,0.79,12677.44,6693.39,30.2,4838.0,80,25,8965499.0,1.24,483.0290875
12,9,11,-40.200001,15240,8482.0,6297.0,5.0,3,2288,35105.97,0.96,0.29,4.3,0.63,11831.43,7085.47,31.91,6537.0,90,22,8622616.0,1.17,1127.188641
4,7,6,-43.540001,18620,6219.0,11890.0,1.17,21,9945,34661.95,0.56,0.34,4.75,0.51,13393.22,7013.81,31.07,4101.0,87,58,17332888.0,1.13,1067.101674
10,11,11,-26.110001,11669,6463.0,4669.0,48.88,1,0,35163.15,0.67,0.34,5.15,0.39,13595.98,6950.15,30.83,4094.0,70,23,8961191.0,1.1,664.3210982
10,4,7,-27.690001,14233,7375.0,6608.0,4.64,4,3239,31913.86,0.5,0.33,4.73,0.56,12774.38,7148.56,31.67,5467.0,100,40,13907320.0,1.08,3304.570137
4,4,6,-40.139999,20870,7915.0,12419.0,3.39,3,2103,34235.23,0.35,0.34,4.32,0.71,13211.25,6798.98,30.45,5151.0,88,68,28334648.0,1.31,5013.576293
5,24,10,-36.669998,13414,6725.0,6514.0,3.55,9,0,35063.55,0.26,0.33,4.68,0.61,13255.15,6964.58,30.96,3957.0,80,19,6787756.0,1.25,1524.127515
16,14,12,-23.709999,13053,6977.0,5165.0,14.88,12,5993,34802.6,0.85,0.27,4.9,0.49,11355.43,6772.95,28.45,5171.0,80,16,6002764.0,0.96,2785.443051
4,7,8,-29.389999,13760,5948.0,7151.0,4.66,18,5682,34382.23,0.27,0.33,4.66,0.61,13171.29,7015.34,31.11,4254.0,94,37,9615817.0,1.15,1118.594927
4,7,7,-27.940001,13970,6274.0,7075.0,2.92,18,7260,34731.66,0.42,0.33,4.74,0.45,13604.97,6962.41,30.84,4211.0,98,38,9910574.0,1.2,751.2064778
4,1,7,-30.879999,13262,5822.0,7054.0,11.01,18,0,30838.84,0.18,0.33,4.64,0.67,13309.81,6919.51,30.8,4965.485373781148,99,27,13402860.0,1.63,1041.479286
12,4,6,-31.09,24789,7825.0,16714.0,37.79,7,0,34548.16,0.04,0.34,4.65,0.82,13022.52,6882.69,30.77,5298.0,94,79,36321672.0,1.38,4825.762603
9,6,6,-32.189999,17130,9639.0,7592.0,465.58,1,0,34653.08,0.31,0.33,4.69,0.61,13250.88,6972.71,30.98,5562.0,78,29,17241196.0,1.9,2464.732811
10,11,10,-60.580002,11449,5836.0,4285.0,58.24,3,0,34579.82,0.63,0.33,4.93,0.45,13486.3,6960.06,30.88,4032.0,70,21,10181794.0,1.16,508.1048603
4,1,10,-51.459999,14011,6460.0,6686.0,15.18,9,4263,33768.2,1.19,0.3,4.89,0.44,12693.71,6759.95,28.52,5111.0,97,24,11847912.0,1.28,3133.792915
1,2,7,-28.17,15848,5375.0,9939.0,74.86,3,3389,34601.01,0.61,0.33,4.91,0.44,13481.45,6949.85,30.85,4217.0,96,36,15722028.0,1.38,1775.037333
10,4,6,-55.200001,16996,8091.0,8063.0,12.11,24,9494,34570.38,0.05,0.34,4.63,0.77,13099.4,6902.51,30.82,5306.0,97,42,18499152.0,1.37,3082.962662
12,9,10,-33.905735419037036,14142,8602.0,5289.0,4.46,3,2669,34610.73,0.93,0.29,4.53,0.53,11769.87,7075.6,31.83,6346.0,92,19,7360203.0,1.17,1002.476357
10,11,9,-21.16,11389,6211.0,3956.0,23.55,7,0,34675.16,0.5,0.33,4.83,0.56,13280.73,7014.03,31.04,4168.0,70,19,9272219.0,1.19,477.8780121
3,5,9,-24.690001,17469,6687.0,10517.0,10.39,3,0,35192.75,1.17,0.34,3.72,1.67,12508.95,6588.71,29.99,4517.0,70,53,12468760.0,0.88,2285.808545
1,8,8,-55.669998,13927,7887.0,5584.0,53.09,17,0,30983.37,0.38,0.34,4.47,0.39,13435.97,6854.93,30.6,4965.485373781148,86,20,7778966.0,0.9,2149.332989
17,12,6,-32.110001,18026,7891.0,9556.0,69.26,5,8291,35185.98,0.57,0.33,4.87,0.43,13465.54,6951.16,30.86,6067.0,80,48,16043951.0,1.06,1956.943779
12,25,5,-35.900002,17464,8517.0,8801.0,13.95,16,0,34604.57,0.5,0.33,4.74,0.6,13270.21,7043.91,31.14,5900.0,78,51,22577852.0,1.54,6593.484356
4,14,6,-11.13,15550,7519.0,7781.0,4.69,23,17763,34557.48,0.75,0.27,4.78,0.52,11235.05,6774.05,28.7,5519.0,108,30,14541990.0,1.08,4303.940533
9,6,5,-8.5,12134,7648.0,3999.0,7.14,7,3566,34639.91,0.52,0.34,4.73,0.51,13400.65,6960.89,30.93,5836.0,25,67,7523162.0,1.37,2702.632771
10,4,7,-49.950001,16320,7833.0,8237.0,101.8,1,0,28042.73,0.16,0.34,4.618651685393258,0.56,13353.94,6845.13,30.58,5319.0,98,40,17578782.0,1.62,3757.548752
9,17,12,-33.905735419037036,12783,6146.0,5483.0,2.23,21,0,34812.56,0.59,0.25,5.17,0.51,12748.54,6778.17,27.28,4776.0,81,17,6297006.0,1.14,1079.893776
1,9,12,-33.905735419037036,12483,8528.0,3524.0,6.2,8,6331,35216.9,0.92,0.29,4.39,0.49,11736.28,7074.5,31.78,6228.0,89,15,4781661.0,0.99,1135.969251
1,13,10,-27.35,12645,6779.0,5182.0,7.57,9,0,30602.85,0.56,0.33,5.01,0.42,13608.12,6957.17,30.84,4453.0,69,18,10277719.0,1.15,921.1654461
9,5,6,-16.370001,15586,6437.0,8765.0,10.01,33,2461,34761.52,0.62,0.33,4.8,0.37,13485.15,6917.72,30.77,3786.0,75,44,716646.0,0.04,2127.471955
18,8,13,-71.339996,10206,7789.0,2021.0,4.75,8,2590,35161.22,0.13,0.34,4.45,0.62,13316.86,6845.18,30.59,5410.0,80,14,2910492.0,0.58,602.4660488
10,11,12,-66.830002,9825,6142.0,3161.0,9.33,13,6081,32759.22,0.62,0.33,4.85,0.46,13479.49,6980.1,30.95,4965.485373781148,69,14,4241077.0,0.94,490.3238739
1,2,8,-33.700001,14891,8184.0,6395.0,11.67,6,0,28696.29,1.8,0.2,4.34,0.52,11659.0,7159.28,29.94,6306.0,73,22,13105906.0,1.74,1590.507633
2,7,8,-27.85,12220,5530.0,6361.0,0.19,27,9397,33106.03,0.44,0.3,4.68,0.59,13206.37,7037.54,31.15,3777.0,97,32,8099535.0,1.07,714.6774004
10,25,12,-12.27,13884,6245.0,7476.0,20.36,4,1484,34714.74,0.26,0.34,4.68,0.61,13247.61,6954.64,30.93,3737.0,90,16,9466621.0,1.22,2214.885493
1,20,13,-31.940001,13749,7991.0,5405.0,37.5,5,0,34736.92,0.95,0.3,6.05,0.41,11849.13,7041.91,31.72,5662.0,78,14,4859500.0,1.28,1323.536531
11,14,9,-11.8,12043,7289.0,4409.0,54.12,5,2313,35110.83,1.11,0.3,4.56,0.45,11931.63,6764.08,28.89,5345.0,80,24,9131972.0,1.04,4451.579319
10,11,12,-63.009998,9852,6474.0,2588.0,7.56,14,0,35185.86,0.36,0.33,4.81,0.55,13285.61,7138.1,31.32,3723.0,70,9,2724736.0,1.0,285.5748873
1,11,6,-40.700001,20746,6079.0,13828.0,176.63,1,0,34733.24,0.59,0.34,5.06,0.45,13491.08,6981.19,30.93,4047.0,89,70,34838792.0,1.1,2963.105807
