treatment_company,operator,age,azimuth,md,tvd,footage_lateral_length,porpoise_deviation,porpoise_count,shale_footage,acoustic_impedance,log_permeability,poisson_ratio,toc,vcl,p-velocity,s-velocity,youngs_modulus,isip,pump_rate,total_number_of_stages,proppant_volume,proppant_fluid_ratio,production
9,5,5,-33.905735419037036,14342,6371.0,7562.0,18.15,8,0,34719.56,0.63,0.33,4.93,0.45,13486.3,6960.06,30.88,4044.0,77,38,15242850.0,1.17,2289.686636
1,33,11,-72.230003,13945,8016.0,4840.0,19.44,13,6271,34680.61,0.89,0.33,4.64,0.94,12940.17,7418.72,33.1,6396.0,79,17,4800144.0,0.93,953.7184041
9,6,7,-26.780001,17713,8394.0,9207.0,1.49,24,2516,34661.95,0.72,0.22,2.51,0.53,12088.5,6810.84,28.23,6476.0,89,65,24405690.0,1.74,5258.248058
4,19,7,-65.199997,11609,5916.0,5288.0,6.03,6,0,34773.26,0.56,0.33,4.75,0.4,13457.7,6923.45,30.79,4191.0,84,22,7576739.0,0.72,527.7962332
17,12,6,-43.029999,18919,7899.0,10351.0,115.46,2,7579,30979.92,0.54,0.33,4.83,0.42,13453.26,6933.44,30.81,5925.0,80,52,18151500.0,1.07,2109.53482
8,6,10,-34.32,14716,8642.0,5824.0,5.31,21,0,35215.04,1.15,0.21,2.94,0.46,11812.77,6816.2,28.0,5827.0,73,24,11585522.0,1.38,3078.057344
1,11,7,-25.370001,12148,5868.0,6030.0,0.96,4,0,30817.54,0.53,0.33,4.78,0.41,13451.61,6934.0,30.82,4102.0,94,28,11245612.0,1.02,908.3133943
9,11,9,-13.98,16913,8780.0,7705.0,8.39,6,0,34700.6,0.35,0.25,4.61,0.62,11838.53,7095.44,31.08,6017.0,71,40,4578652.0,1.03,3753.75364
16,4,9,-22.1,17682,6753.0,10679.0,10.2,5,4320,34671.63,0.26,0.33,4.68,0.61,13255.15,6964.58,30.96,5176.0,96,55,16368358.0,0.92,1770.116867
1,11,12,-70.739998,11019,6515.0,3571.0,1.7,9,5592,34895.95,0.37,0.33,4.77,0.44,13229.74,7173.83,31.42,3705.0,69,12,3618407.0,0.92,340.3033477
7,11,13,-8.8199997,14328,8640.0,5480.0,15.28,2,2721,34850.7,0.93,0.29,4.22,0.66,11806.83,7088.34,31.83,6162.0,71,17,6958081.0,1.23,1536.894674
8,1,9,-15.95,16753,6103.0,10153.0,525.5,1,4768,34779.81,0.3,0.33,4.84,0.54,13355.79,7119.13,31.26,4261.0,37,40,14720418.0,1.27,1071.104173
7,11,11,16.24,12425,8961.0,2423.0,37.23,8,3651,34589.6,0.31,0.26,4.37,0.68,11855.48,7095.21,31.29,4965.485373781148,69,10,1228056.0,0.57,1593.299778
12,4,6,-41.25,14296,7626.0,6297.0,22.23,5,3462,34289.8,0.52,0.33,4.69,0.52,12821.43,7140.64,31.61,5383.0,98,33,14598441.0,1.46,2624.514598
1,6,6,-43.099998,17390,7325.0,9425.0,17.24,2,5227,33244.59,0.3,0.33,4.69,0.6,13252.12,6966.27,30.96,5504.0,92,39,14981811.0,1.63,8526.300624
4,1,10,-54.57,13517,6297.0,6970.0,5.85,5,3278,33424.88,0.47,0.33,4.68,0.59,13214.46,7040.7,31.16,4965.485373781148,99,15,9659354.0,1.47,1580.059715
4,7,7,-36.07,15998,6156.0,9510.0,31.14,3,4184,34207.25,0.31,0.33,4.67,0.62,13194.92,6992.86,31.05,4274.0,95,47,12339629.0,1.25,1163.827045
16,4,9,-30.25,16545,7935.0,7885.0,5.58,8,0,31386.11,0.05,0.34,4.6,0.73,13166.28,6894.45,30.77,5866.0,90,52,10443903.0,0.86,2918.44662
5,34,11,19.969999,9034,5879.0,3085.0,502.4,1,363,34732.74,0.44,0.29,4.63,0.58,13191.99,6968.56,30.95,4723.0,15,11,4913642.0,1.16,486.9787394
5,11,9,-7.75,13023,7260.0,5420.0,2.26,6,4724,34521.71,0.56,0.33,4.58,0.5,13052.83,7102.99,31.36,4671.0,69,27,7804971.0,0.79,887.8860576
12,19,11,-76.889999,9936,5945.0,3412.0,41.92,7,0,34579.82,0.44,0.33,4.67,0.59,13187.58,7039.6,31.16,4517.0,80,13,4280864.0,0.77,384.7922216
12,22,10,-33.905735419037036,10633,6259.0,4124.0,1.27,19,7462,33858.07,0.44,0.33,4.68,0.59,13206.37,7037.54,31.15,4702.0,100,19,7800685.0,1.13,1165.132832
7,11,12,-47.02,12946,8951.0,3216.0,0.44,14,3852,34833.35,0.52,0.33,4.44,0.27,13487.18,6854.06,30.59,5937.0,75,9,1089553.0,0.69,620.7363435
13,15,11,-41.77,13910,5583.0,7648.0,17.59,9,0,34634.34,0.81,0.19,5.3,0.58,12618.0,7056.13,27.95,3432.0,91,21,7185740.0,1.25,1057.711486
12,4,6,-39.529999,13932,7785.0,5567.0,4.61,5,3297,34735.2,0.17,0.33,4.68,0.74,12989.04,6996.36,31.15,4687.0,101,28,12646536.0,1.5,2580.769723
1,25,10,-2.1300001,11600,7660.0,3603.0,67.89,9,0,34594.44,0.61,0.28,3.21,0.55,11230.72,6775.75,28.98,5708.0,90,20,5740858.0,0.86,1073.552287
29,14,12,-49.82,8765,6609.0,1776.0,563.81,1,12780,30206.05,0.2,0.25,5.14,0.62,11875.97,6781.64,27.63,4577.0,81,11,4047350.0,1.05,2088.36451
9,6,7,-12.52,13606,7773.0,5100.0,11.93,11,4910,33268.11,0.84,0.22,2.95,0.48,11811.83,6809.81,28.05,6006.0,85,19,7612057.0,1.5,2599.215673
5,18,9,-41.650002,12658,7429.0,4894.0,14.49,17,3392,34601.01,0.42,0.33,4.69,0.59,13230.23,7017.28,31.09,5473.0,97,33,6601325.0,1.05,1004.371152
2,7,9,-41.09,16155,6160.0,9750.0,123.92,2,6089,35504.02,0.26,0.29,4.68,0.62,13263.35,6960.29,30.94,4358.0,96,51,19898312.0,1.2,1578.313904
1,5,7,-18.969999,12560,7350.0,4888.0,1.84,10,3831,34731.08,1.28,0.34,4.27,1.77,12253.15,6432.73,29.63,5219.0,77,24,12470437.0,1.2,1832.65429
11,6,11,-23.5,12437,8148.0,4493.0,3.31,6,0,35063.55,1.42,0.23,4.06,0.45,12193.38,6815.48,27.77,4230.0,98,9,5510162.0,1.32,1538.464844
4,1,11,-35.02,12576,6721.0,5565.0,53.02,19,0,35140.32,0.56,0.34,4.5,0.28,13500.49,6877.83,30.66,4546.0,101,18,6164748.0,0.93,2084.930986
9,5,6,-31.129999,16055,6459.0,9241.0,45.08,3,3057,34807.8,1.38,0.34,3.65,1.88,12357.45,6532.9,29.89,4242.0,76,46,763879.0,0.04,2309.86577
11,6,12,-13.62,12902,6381.0,5497.0,29.56,14,5788,27092.15,0.98,0.22,4.77,0.7,11366.32,6785.4,26.61,9295.0,50,12,5935884.0,1.23,723.0671564
8,26,7,-54.529999,12564,6335.0,5588.0,28.99,7,0,31415.37,0.31,0.33,4.67,0.62,13196.83,6994.84,31.06,4979.0,98,22,10151674.0,0.91,478.9361715
10,11,12,-66.419998,9800,6085.0,3355.0,0.89,6,6372,34824.22,0.26,0.33,4.68,0.61,13247.61,6954.64,30.93,3802.0,69,9,2761486.0,1.08,199.9708026
4,4,7,13.46,16540,7540.0,8750.0,73.38,7,2299,28881.88,0.81,0.34,4.618651685393258,1.02,12993.35,6612.42,29.97,4566.0,100,37,16657230.0,1.36,2893.163534
12,26,12,-58.369999,12492,8428.0,3685.0,7.58,15,0,34553.94,0.27,0.33,5.18,0.91,13073.99,6984.95,31.69,5638.0,85,9,2739042.0,0.78,584.9642686
12,22,6,-55.110001,11086,5493.0,5343.0,1.65,17,8537,33749.47,0.55,0.34,4.71,0.38,13462.05,6905.12,30.74,4170.0,101,28,12576111.0,1.12,880.6321287
3,5,10,-13.68,13931,7089.0,6501.0,0.41,7,0,31181.42,1.3,0.34,4.28,1.83,12157.02,6409.2,29.6,4965.485373781148,64,32,6480177.0,0.76,1520.400136
1,1,7,-34.82,11340,6961.0,3999.0,3.78,8,1775,30761.22,0.49,0.33,4.66,0.59,13170.5,7029.04,31.13,4985.0,99,19,7689927.0,1.38,2178.56896
9,6,6,-25.91,17864,8893.0,8721.0,13.17,6,0,27750.89,1.15,0.21,2.84,0.45,11864.68,6817.09,28.04,4427.0,77,29,14932883.0,1.71,1513.957944
3,15,7,-43.18,17073,6298.0,10525.0,30.56,3,0,35185.98,0.44,0.33,4.71,0.56,13320.35,6961.99,30.94,4848.0,66,41,16345489.0,2.1,1673.660579
8,4,12,-35.330002,11495,6744.0,4324.0,8.81,15,7417,34726.36,0.31,0.33,4.66,0.61,13182.77,7015.94,31.11,4376.0,83,15,5950557.0,1.13,477.6019857
10,4,7,-25.950001,19143,7445.0,11448.0,14.94,6,0,34773.26,0.6,0.33,4.75,0.45,12764.1,7179.85,31.72,5678.0,98,72,24952536.0,1.05,5059.138366
4,7,8,-17.85,13811,5996.0,6947.0,16.75,5,3462,34391.15,0.52,0.27,4.44,0.27,13487.18,6854.06,30.59,4166.0,93,36,9055875.0,1.09,1228.396838
1,26,11,-53.900002,13836,8090.0,5225.0,4.37,10,3582,33042.41,1.11,0.32,5.46,0.83,12633.21,7381.92,32.72,5248.0,93,15,4992974.0,0.8,722.1376347
10,11,12,-27.120001,10760,6485.0,3673.0,4.07,10,0,35207.9,0.34,0.33,4.8,0.49,13260.29,7158.92,31.37,4328.0,69,18,9034532.0,1.33,749.6986084
8,6,11,-14.69,14678,8426.0,6362.0,13.74,19,2288,34594.44,1.41,0.22,4.03,0.49,12188.09,6822.02,27.83,5050.0,83,9,7871139.0,1.41,2193.232518
2,2,10,-42.59,11210,6356.0,4390.0,10.24,6,0,30584.51,0.4,0.21,4.58,0.44,14501.58,6794.11,26.11,4861.0,108,12,7179316.0,1.94,1400.621177
12,19,11,-25.559999,11463,8096.0,2897.0,22.62,8,3661,34789.16,0.9,0.31,4.618651685393258,0.3,13096.09,7018.67,31.74,6139.0,83,14,5509186.0,1.21,577.6465884
8,1,10,-33.905735419037036,16207,5979.0,9848.0,30.53,8,0,35224.25,0.06,0.34,4.61,0.73,13170.64,6895.76,30.78,4965.485373781148,79,39,15216418.0,1.22,650.5596196
12,8,7,-39.84,16010,6298.0,9258.0,154.54,3,7109,32081.61,0.27,0.33,4.68,0.63,13220.38,6970.94,30.98,4115.0,90,45,17972466.0,1.3,1498.558974
2,4,8,-50.049999,14565,7898.0,6439.0,8.3,12,0,34798.83,0.86,0.34,4.21,0.12,13544.72,6819.87,30.49,4798.0,99,32,8555328.0,0.89,2683.929989
10,1,11,-16.93,11638,5826.0,5419.0,11.76,7,0,35153.19,0.06,0.33,4.61,0.73,13169.32,6894.85,30.77,4398.0,87,11,6950679.0,1.48,569.479928
1,1,6,-22.540001,15675,5838.0,9587.0,4.89,8,0,34782.05,0.48,0.33,4.65,0.58,13166.54,7031.03,31.14,4352.0,97,65,31351924.0,1.55,1670.524978
4,1,12,-39.209999,10252,6521.0,3405.0,14.96,11,6808,35185.86,0.76,0.2,4.47,0.54,12754.05,6799.38,26.26,4344.0,95,13,6325061.0,0.94,1095.449116
4,1,12,-28.42,12365,6542.0,4826.0,21.46,6,5596,34814.07,0.53,0.21,4.4,0.5,13677.51,6796.9,26.13,4489.0,100,13,4420013.0,0.75,1194.928296
4,14,7,13.92,12933,6417.0,6266.0,2.98,2,2498,28842.14,0.33,0.24,5.13,0.47,12472.76,6782.91,27.29,4965.485373781148,109,30,15120755.0,1.19,3986.518151
10,6,12,-38.27,11599,6220.0,4972.0,6.46,8,8133,29025.97,1.05,0.2,4.64,0.62,11685.11,6802.88,26.5,4027.0,77,10,6564580.0,1.34,1093.86027
8,6,10,-40.049999,14525,8155.0,5513.0,55.86,5,4309,30717.19,1.23,0.21,4.618651685393258,0.46,11631.22,6815.16,27.87,5957.0,95,17,9018672.0,2.1,3625.455749
4,4,8,-50.639999,13514,7719.0,5003.0,14.02,8,0,34779.81,1.21,0.35,5.07,0.93,12080.44,6411.9,29.42,5883.0,97,34,8526570.0,0.96,1074.845492
2,2,9,-14.86,11790,6277.0,5354.0,20.82,7,1204,34726.36,1.3,0.2,6.71,0.44,12027.24,6979.02,27.9,4791.0,108,14,8810000.0,2.39,1102.291351
4,8,5,-39.549999,13708,7065.0,6276.0,0.14,3,0,29434.38,0.43,0.34,4.618651685393258,0.57,13599.66,6944.12,30.83,4608.0,95,28,15695820.0,1.61,2895.539092
12,25,7,-26.0,15788,7337.0,8201.0,292.35,1,4899,34736.92,1.51,0.24,4.02,0.48,12143.75,6853.13,28.37,4832.0,93,17,5157341.0,1.29,1308.414304
8,1,11,-47.18,11558,6239.0,4747.0,49.1,2,0,30710.84,0.18,0.33,4.86,0.52,13509.16,7034.71,31.02,4557.0,80,12,6910380.0,1.37,459.6168748
1,1,8,-14.43,14404,6437.0,7020.0,34.4,9,0,35167.84,0.68,0.33,5.08,0.4,13595.4,6955.35,30.83,4491.0,97,34,14222506.0,1.32,3861.74333
4,1,10,-46.950001,15300,6608.0,7971.0,6.24,16,12479,34546.34,1.08,0.28,4.99,0.44,12239.85,6766.13,28.21,5242.0,100,30,14755076.0,1.33,3297.806742
19,20,10,-31.879999,16880,8237.0,7903.0,36.11,1,1709,34869.13,0.47,0.34,4.66,0.58,13192.18,7046.91,31.18,4936.0,90,19,7225646.0,1.52,1811.057734
1,25,10,-42.549999,12056,8052.0,3875.0,0.68,25,10641,34583.67,0.5,0.34,4.83,0.56,13280.73,7014.03,31.04,4753.0,89,22,16650056.0,1.77,3360.831304
17,4,9,-55.18,13530,7501.0,5842.0,7.79,4,2952,31810.16,0.43,0.33,4.72,0.59,13263.02,7033.37,31.11,5462.0,85,19,8084800.0,1.28,1575.182337
5,5,6,-10.25,15274,6704.0,8000.0,38.96,12,5146,34634.34,1.34,0.34,3.86,1.96,12302.62,6481.89,29.77,3835.0,74,40,20338004.0,1.18,2308.819496
5,5,6,-15.41,18014,6624.0,10892.0,9.54,10,0,34833.46,0.48,0.33,4.64,0.57,13158.92,7055.89,31.21,5080.0,75,55,22644300.0,1.08,3514.792459
12,25,7,-7.3899999,15325,8629.0,6446.0,18.01,4,4058,35072.44,1.32,0.22,3.89,0.47,12187.75,6827.5,28.05,4965.485373781148,90,38,13990954.0,1.33,5128.058548
3,1,8,-30.15,13426,6447.0,6172.0,1.7,11,4990,34802.83,1.09,0.29,5.02,0.44,12427.77,6765.34,28.13,4921.0,92,29,11674356.0,1.21,3567.24434
1,20,12,-22.25,14410,8246.0,5586.0,2.39,9,6481,34575.56,0.98,0.3,4.85,0.72,11959.51,7084.24,32.05,4965.485373781148,82,10,5107177.0,1.53,1209.519963
6,19,10,-11.56,9615,5896.0,3288.0,1.68,3,3149,28993.29,0.32,0.33,4.68,0.62,13231.58,6984.64,31.02,4276.0,85,15,4299178.0,0.94,159.1077011
2,20,13,-69.25,14028,8773.0,5112.0,95.21,2,5360,34744.92,0.77,0.28,4.22,0.65,11792.44,7090.16,31.62,6669.0,84,13,4487940.0,1.33,1006.520475
1,26,11,-71.199997,13796,8218.0,5129.0,44.02,1,2386,35169.83,1.13,0.32,5.61,0.85,12753.31,7384.06,32.84,5876.0,99,17,5040985.0,0.85,1412.819209
1,20,13,-51.959999,13963,8006.0,5586.0,42.62,5,0,34601.01,0.96,0.3,5.99,0.43,11761.44,7040.53,31.68,5568.0,80,15,3224820.0,0.76,1185.096113
9,5,6,-33.905735419037036,16352,6554.0,9013.0,0.76,29,4384,35039.79,1.25,0.34,3.68,1.72,12466.27,6576.71,29.97,3765.0,76,46,18405130.0,1.17,2420.192905
3,1,7,-33.905735419037036,18070,6054.0,11348.0,2.91,6,0,34714.74,0.57,0.3,4.63,0.35,13484.98,6906.2,30.74,4312.0,100,57,25425682.0,1.41,3685.498645
8,26,7,-28.65,13099,6491.0,5911.0,9.93,4,0,30172.33,0.44,0.33,4.71,0.56,13320.35,6961.99,30.94,4775.0,98,23,11343385.0,0.94,542.3071433
11,14,8,-57.889999,13075,7105.0,4814.0,8.68,6,4740,34663.15,1.24,0.32,4.32,0.48,12895.77,6755.2,29.47,5455.0,80,24,9124783.0,1.06,1752.977404
1,9,12,-21.75,16516,8572.0,7700.0,6.25,4,0,34726.36,0.92,0.29,4.29,0.49,11744.51,7076.2,31.78,4965.485373781148,90,27,9935200.0,1.1,1968.086196
1,13,9,-47.700001,16645,6891.0,9358.0,10.38,7,3011,34173.46,0.62,0.33,5.17,0.41,13599.92,6955.84,30.84,4420.0,77,38,17953364.0,0.93,1751.008208
4,7,7,-22.59,11972,6236.0,5349.0,22.27,25,11955,35169.83,0.42,0.33,4.66,0.59,13161.9,7014.34,31.1,4330.0,95,28,7103381.0,1.34,453.9478101
8,28,9,-54.73,14724,8899.0,5160.0,4.34,13,6160,34839.29,0.47,0.34,4.66,0.58,13184.96,7049.93,31.19,6522.0,96,15,7985109.0,1.14,942.1315053
8,4,10,-41.880001,12256,6778.0,5138.0,3.6,12,4310,29685.18,0.53,0.34,3.9,0.69,12773.7,6695.22,30.2,4847.0,80,20,8358440.0,1.18,626.1577359
4,1,9,-20.48,14806,6268.0,7174.0,17.34,22,9938,33856.46,0.46,0.22,4.82,0.38,13558.55,6793.33,26.53,4236.0,100,13,16260545.0,1.77,3403.859755
29,14,12,-37.16,9465,6483.0,2377.0,20.4,4,5983,35053.87,0.24,0.25,5.14,0.59,12033.79,6781.91,27.54,4997.0,80,14,5250500.0,1.06,1726.930553
10,6,12,-25.49,13273,6525.0,6632.0,512.54,1,12938,30064.75,0.57,0.33,4.87,0.43,13465.54,6951.16,30.86,4040.0,74,11,7343809.0,1.3,2018.703652
3,5,8,-24.15,17660,6403.0,11148.0,14.13,10,6484,33791.6,1.17,0.34,3.74,1.71,12506.8,6576.18,29.96,4982.0,70,75,16448255.0,0.92,2780.213158
10,4,9,-23.440001,15365,7580.0,7455.0,725.52,1,0,35290.28,0.87,0.34,3.85,1.14,12910.47,6594.71,29.94,5011.0,100,50,12466290.0,0.95,2933.202458
10,11,10,-25.92,14019,6369.0,7280.0,91.29,3,4700,29649.78,0.42,0.33,4.74,0.34,13193.09,7190.77,31.47,4881.0,70,36,18033300.0,1.19,1248.688497
10,11,10,-27.66,12407,5970.0,5694.0,7.67,9,0,34634.13,0.62,0.34,4.8,0.49,13480.49,6979.56,30.96,4965.485373781148,70,29,14219947.0,1.12,849.0807257
11,27,13,-69.830002,12521,8135.0,3405.0,6.45,25,11706,34626.62,0.18,0.34,4.88,0.89,12829.61,6844.55,30.79,5450.0,57,12,3680017.0,0.89,635.9163758
4,4,8,-72.889999,12713,7551.0,3613.0,763.39,1,0,35237.22,0.21,0.33,4.66,0.67,13124.58,6984.1,31.05,5387.0,94,26,5967974.0,0.94,2500.782873
2,20,11,-38.959999,14063,7398.0,6760.0,0.46,20,0,34761.52,0.05,0.33,4.72,0.6,13166.48,6909.48,30.79,4514.0,101,12,5963952.0,1.7,638.6584323
3,5,10,-3.3,14253,7041.0,6648.0,3.0,11,0,34745.94,1.32,0.34,4.618651685393258,1.89,12159.12,6414.26,29.62,5211.0,64,33,7065183.0,0.76,1828.887531
3,8,7,-34.450001,13384,6195.0,6323.0,17.65,8,0,34634.13,0.31,0.33,4.67,0.62,13194.92,6992.86,31.05,3896.0,91,31,12189920.0,1.14,1195.757733
10,11,11,-59.939999,11821,6437.0,4642.0,1.51,23,8397,34315.46,0.38,0.33,4.8,0.56,13250.37,7148.66,31.36,4965.485373781148,71,22,6455592.0,0.95,725.4743944
10,6,11,-16.92,13620,8148.0,5429.0,32.16,7,6029,34594.44,1.41,0.21,3.9,0.52,11963.68,6819.16,27.71,5981.0,87,9,5522518.0,1.26,2591.632976
10,4,6,-13.53,15692,7476.0,7515.0,22.57,23,8940,33030.93,0.58,0.33,4.78,0.5,12733.87,7180.92,31.76,5360.0,99,43,17197620.0,1.4,3056.092595
5,8,10,-60.169998,17174,7627.0,8862.0,7.84,16,9048,35313.77,0.44,0.33,4.74,0.57,13307.1,6996.23,31.02,5615.0,86,60,11982816.0,1.03,1389.976605
12,4,6,3.3800001,15005,7777.0,5792.0,1.49,12,0,34601.01,0.1,0.34,4.8,0.88,12881.94,6905.87,30.95,5445.0,97,20,8010000.0,1.28,1054.666796
12,27,12,-62.91,12342,8232.0,3566.0,330.79,5,9188,33358.01,0.19,0.34,4.83,0.87,12793.11,6812.05,30.62,5787.0,88,10,2837802.0,0.9,626.3646622
12,22,9,-63.59,10802,5685.0,4873.0,176.48,9,8409,33953.08,0.65,0.33,5.14,0.4,13591.62,6954.28,30.84,4419.0,92,32,11304523.0,1.19,852.1353846
12,27,10,-61.970001,14011,8162.0,5296.0,308.56,1,0,30478.58,0.19,0.34,4.91,0.9,12859.0,6861.52,30.9,5575.0,78,16,9327200.0,0.94,1071.65468
4,7,7,-39.990002,15477,6157.0,9021.0,19.41,10,5622,35033.39,0.31,0.33,4.66,0.61,13182.77,7015.94,31.11,4965.485373781148,97,48,12862379.0,1.3,1251.245788
2,2,13,-5.6700001,10770,5822.0,4453.0,10.79,22,6384,34798.83,1.16,0.21,6.63,0.41,12117.52,6972.5,27.73,4582.0,88,12,4847272.0,1.35,889.0207554
5,1,10,-48.029999,11871,6638.0,4727.0,0.04,11,6161,34897.55,0.57,0.34,4.78,0.41,13453.74,6927.45,30.8,4956.0,100,15,7252326.0,1.22,1880.471907
11,14,9,-20.92,12088,6790.0,4895.0,9.5,6,4886,27799.79,0.29,0.27,4.69,0.61,13227.81,6976.93,30.99,4907.0,80,28,10636675.0,1.05,1531.934734
11,6,11,-28.530001,13035,8202.0,4762.0,7.68,2,4025,34771.54,1.38,0.21,3.62,0.47,11919.57,6821.53,27.84,5219.0,92,10,6099279.0,1.28,2455.526563
9,17,10,-39.77,11310,6389.0,4734.0,5.09,2,0,35039.79,0.86,0.26,5.15,0.43,13590.49,6773.31,26.99,3954.0,77,28,6617366.0,1.09,417.9939497
2,7,9,-33.905735419037036,16150,6157.0,9560.0,4.11,23,9677,35550.77,0.26,0.3,4.68,0.62,13241.47,6972.52,30.98,4428.0,91,51,14038566.0,1.14,1683.450521
1,11,7,-16.879999,17452,8352.0,8437.0,2.51,28,14983,34887.07,0.83,0.32,5.7,0.74,12578.32,7090.27,32.4,5665.0,66,43,12795338.0,1.5,2021.934222
4,7,6,-25.25,14961,6201.0,8184.0,5.72,11,5847,35281.08,0.63,0.33,4.92,0.45,13484.58,6959.23,30.88,4096.0,98,41,12115759.0,1.16,1206.241235
5,18,11,-50.639999,11431,7126.0,3892.0,6.3,3,2129,38057.63,0.5,0.33,4.63,0.56,13151.88,7068.17,31.24,5267.0,73,9,1184365.0,0.38,519.8412166
3,1,5,-33.905735419037036,14791,6663.0,7264.0,22.04,19,9662,34823.06,0.31,0.33,4.69,0.61,13250.88,6972.71,30.98,5345.0,82,51,11540739.0,0.92,3762.549877
9,11,9,-43.860001,14910,8876.0,4791.0,13.67,9,6010,34522.19,0.32,0.25,4.62,0.65,11841.97,7095.85,31.12,6060.0,71,25,5214206.0,1.01,2278.289554
1,8,9,-51.380001,15813,6758.0,8204.0,6.13,18,10080,34564.35,0.76,0.34,5.84,0.18,13708.08,6888.66,30.66,5004.0,89,43,20492148.0,1.09,1799.089894
1,25,11,11.42,10555,6923.0,3142.0,173.46,3,6888,34614.86,0.83,0.27,4.87,0.5,11319.25,6773.06,28.51,4802.0,89,22,12682828.0,1.24,2227.844493
23,4,12,-7.3800001,12399,8064.0,3792.0,11.66,5,2595,30503.75,0.13,0.34,4.78,0.85,12892.05,6973.91,31.18,5761.0,100,13,4824122.0,0.97,984.6258895
12,25,10,-68.529999,9265,7057.0,1921.0,2.4,8,107,34579.27,0.13,0.24,5.05,0.57,11672.86,6783.74,27.71,4673.0,91,15,5083162.0,1.0,1235.988069
12,9,10,-29.120001,13898,8678.0,5105.0,5.86,7,0,34669.05,0.92,0.29,4.58,0.49,11721.2,7070.78,31.76,6176.0,88,27,6941658.0,1.19,764.0957802
14,4,10,-41.259998,12081,8090.0,3431.0,155.33,4,0,30247.1,0.14,0.34,4.74,0.81,12912.52,6988.22,31.2,5783.0,99,13,4778821.0,0.95,1070.738985
2,20,10,-35.799999,13936,7505.0,6363.0,1.98,7,7746,33832.67,0.47,0.33,4.66,0.58,13184.6,7042.19,31.17,5408.0,92,12,6371041.0,1.69,1363.493871
2,2,13,-13.89,13670,7927.0,5321.0,10.4,6,3661,35125.52,1.92,0.2,4.8,0.76,11634.69,7158.09,29.74,6509.0,67,13,4874747.0,1.07,604.3373478
2,20,11,-24.6,15353,9052.0,6243.0,5.11,15,6494,35187.29,0.2,0.26,4.5,0.71,11864.68,7097.66,31.23,6256.0,93,12,6112941.0,1.35,1894.104453
9,5,5,-32.220001,19332,6252.0,12443.0,22.56,5,0,30803.07,0.26,0.33,4.68,0.62,13263.35,6960.29,30.94,3657.0,77,63,25103300.0,1.17,3582.91317
1,17,5,-29.059999,14501,7969.0,6254.0,213.93,2,10293,34311.44,0.29,0.33,4.68,0.62,13216.42,6986.63,31.03,5448.0,76,34,12051742.0,0.99,1521.046491
4,7,7,-33.450001,13895,6338.0,7318.0,38.53,5,0,34833.46,0.68,0.33,5.08,0.4,13595.4,6955.35,30.83,4260.0,98,38,10191847.0,1.18,637.6526343
5,5,6,-23.83,20600,6602.0,13641.0,32.99,13,0,35293.43,0.26,0.34,4.68,0.61,13247.61,6954.64,30.93,4964.0,77,71,27397780.0,1.02,4154.211558
7,4,10,-33.905735419037036,16026,7958.0,7740.0,9.13,20,8767,35153.91,0.26,0.33,4.68,0.61,13255.17,6953.57,30.92,5794.0,93,52,11415035.0,0.88,3418.257575
1,4,12,-52.740002,10885,7844.0,2639.0,24.03,6,4540,33027.54,0.22,0.34,4.59,0.53,13356.72,6888.67,30.72,5230.0,96,18,3730316.0,0.95,1559.765694
10,4,6,-55.029999,14938,6643.0,8045.0,1.9,6,0,30977.49,0.29,0.33,4.69,0.61,13230.16,6973.8,30.98,4965.485373781148,100,34,20379848.0,1.36,1940.958796
12,19,9,-33.905735419037036,11305,5888.0,5043.0,16.74,10,4478,35459.04,0.39,0.33,4.72,0.58,13268.2,7001.02,31.04,4384.0,81,22,6805976.0,0.97,368.8595725
2,2,10,-15.75,15377,5901.0,8833.0,503.75,1,2572,35290.28,0.52,0.34,4.73,0.51,13400.65,6960.89,30.93,4819.0,109,18,11929348.0,1.89,1996.621958
8,1,9,-30.389999,16440,6268.0,9724.0,26.55,6,0,30776.0,0.27,0.33,4.86,0.55,13467.47,7061.52,31.09,4598.0,2,37,18271100.0,1.58,1124.868741
4,7,6,-44.23,13042,6019.0,6317.0,4.68,27,0,35140.32,0.31,0.33,4.69,0.61,13250.88,6972.71,30.98,4138.0,96,31,8997620.0,1.16,899.2156104
12,4,6,-18.34,22349,7943.0,14156.0,5.55,17,1577,34667.33,0.16,0.34,4.45,0.74,13185.47,6826.19,30.54,4708.0,93,71,29139678.0,1.41,3217.983424
4,1,12,-52.869999,11376,6523.0,4232.0,11.98,25,12092,32754.03,0.67,0.2,4.38,0.55,12889.62,6798.7,26.18,4515.0,95,16,5091281.0,0.75,1384.861273
3,1,6,-33.23,15078,5898.0,8692.0,40.8,20,8702,34838.95,0.29,0.33,4.69,0.61,13230.16,6973.8,30.98,4599.0,88,62,17387444.0,1.66,1440.572356
10,4,8,-9.4099998,10929,7934.0,2745.0,4.71,5,0,28230.58,0.24,0.34,4.67,0.61,13263.08,6945.67,30.9,5073.0,99,16,3744675.0,1.01,938.9375006
12,26,10,-33.905735419037036,13841,8039.0,5265.0,14.17,17,10344,34771.54,1.06,0.32,5.63,0.84,12795.16,7350.9,32.8,5536.0,82,13,3778521.0,0.81,1274.756362
